City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Bengaluru,2015-07-13,25.62,,5.21,12.22,9.75,10.8,27.06,2.84,10.42,21.59,7.32,,246.0,Poor
Bengaluru,2015-07-14,27.03,,4.42,11.7,9.3,10.17,10.62,2.78,7.82,24.35,6.14,,250.0,Poor
Bengaluru,2015-07-15,24.09,,5.64,17.43,12.1,6.08,9.91,4.49,5.49,23.09,3.81,,176.0,Moderate
Bengaluru,2015-07-16,23.17,,4.97,15.73,11.27,10.88,3.56,2.98,8.06,22.44,3.01,,176.0,Moderate
Bengaluru,2015-07-17,26.84,,6.18,10.76,9.67,9.89,1.62,3.46,8.48,,1.13,,55.0,Satisfactory
Bengaluru,2015-07-18,19.24,,3.78,8.46,7.12,11.23,18.69,3.98,10.27,,,,156.0,Moderate
Bengaluru,2015-07-19,14.46,,3.76,7.65,6.72,10.88,12.18,1.66,9.43,,1.16,,195.0,Moderate
Bengaluru,2015-07-20,14.3,,5.1,10.26,8.78,10.46,9.82,2.39,8.67,,1.06,,197.0,Moderate
Bengaluru,2015-07-21,19.29,,4.45,11.45,8.94,10.76,9.35,1.72,3.62,,1.25,,223.0,Poor
Bengaluru,2015-07-22,21.39,,4.14,9.91,8.06,9.67,16.7,2.39,3.54,,,,182.0,Moderate
Bengaluru,2015-07-23,45.86,,5.98,11.26,9.75,10.06,9.44,3.29,5.13,19.93,2.04,,245.0,Poor
Bengaluru,2015-07-24,18.38,,3.82,9.48,7.7,9.15,16.46,10.54,6.49,18.55,3.04,,268.0,Poor
Bengaluru,2015-07-25,24.44,,4.63,10.0,8.6,10.06,2.89,15.96,9.61,16.78,2.54,,51.0,Satisfactory
Bengaluru,2015-07-26,25.14,,3.59,11.03,7.88,8.39,2.42,2.54,8.9,16.64,1.96,,49.0,Good
Bengaluru,2015-07-27,13.85,,5.69,8.83,8.32,8.42,14.36,3.82,8.78,15.28,4.57,,157.0,Moderate
Bengaluru,2015-07-28,16.63,,3.66,10.76,8.08,9.14,12.51,5.27,7.16,17.73,4.06,,128.0,Moderate
Bengaluru,2015-07-29,19.04,,3.67,12.67,9.08,29.6,1.5,4.9,5.82,18.71,2.1,,66.0,Satisfactory
Bengaluru,2015-07-30,24.43,,4.59,11.52,7.93,11.73,1.86,3.15,5.42,19.79,1.96,,105.0,Moderate
Bengaluru,2015-07-31,19.16,,5.08,10.27,7.61,11.91,1.09,3.35,3.53,21.09,2.58,,49.0,Good
Bengaluru,2015-08-01,18.18,,4.06,20.21,11.77,10.3,9.97,2.43,3.38,16.15,3.28,,97.0,Satisfactory
Bengaluru,2015-08-02,15.52,,3.48,9.54,6.15,9.26,37.73,1.86,4.83,13.6,7.99,,257.0,Poor
Bengaluru,2015-08-03,18.67,,5.9,11.41,8.58,10.08,25.13,2.13,5.74,13.67,4.26,,139.0,Moderate
Bengaluru,2015-08-04,15.85,,5.74,10.66,8.17,10.75,9.92,2.6,5.24,14.1,1.8,,95.0,Satisfactory
Bengaluru,2015-08-05,18.26,,4.56,11.85,8.03,10.66,48.07,2.4,3.0,16.28,2.08,,106.0,Moderate
Bengaluru,2015-08-06,17.94,,6.02,18.38,13.03,33.49,3.15,5.94,7.21,16.44,1.98,,89.0,Satisfactory
Bengaluru,2015-08-07,21.86,,3.06,10.02,6.18,26.16,1.16,3.79,3.29,15.14,1.82,,44.0,Good
Bengaluru,2015-08-08,46.86,,2.62,8.46,5.62,23.31,20.25,3.78,3.98,15.6,1.79,,97.0,Satisfactory
Bengaluru,2015-08-09,54.42,,1.56,7.32,5.27,18.3,8.78,2.1,4.73,25.0,235.48,,187.0,Moderate
Bengaluru,2015-08-10,21.02,,3.65,8.21,6.26,23.95,1.82,5.16,6.23,34.14,162.98,,83.0,Satisfactory
