location_id,location_name,city,latitude,longitude,sensor_id,parameter,units,unit_priority
5652,"IGSC Planetarium Complex, Patna - BSPCB",Patna,25.5941,85.1376,15086,o3,µg/m³,0
5652,"IGSC Planetarium Complex, Patna - BSPCB",Patna,25.5941,85.1376,15087,pm25,µg/m³,0
5652,"IGSC Planetarium Complex, Patna - BSPCB",Patna,25.5941,85.1376,15089,so2,µg/m³,0
5655,"Velachery Res. Area, Chennai - CPCB",Chennai,13.0052189,80.2398125,15110,co,µg/m³,0
5655,"Velachery Res. Area, Chennai - CPCB",Chennai,13.0052189,80.2398125,15117,no2,µg/m³,0
12024,"Chakala-Andheri East, Mumbai - IITM",Mumbai,19.11074,72.86084,12442195,pm10,µg/m³,0
11611,"Malad West, Mumbai - IITM",Mumbai,19.19709,72.82204,12236426,pm25,µg/m³,0
11611,"Malad West, Mumbai - IITM",Mumbai,19.19709,72.82204,39457,so2,µg/m³,0
5655,"Velachery Res. Area, Chennai - CPCB",Chennai,13.0052189,80.2398125,15132,o3,µg/m³,0
5655,"Velachery Res. Area, Chennai - CPCB",Chennai,13.0052189,80.2398125,12235530,pm10,µg/m³,0
5655,"Velachery Res. Area, Chennai - CPCB",Chennai,13.0052189,80.2398125,15136,pm25,µg/m³,0
5655,"Velachery Res. Area, Chennai - CPCB",Chennai,13.0052189,80.2398125,15138,so2,µg/m³,0
5657,"Central School, Lucknow - CPCB",Lucknow,26.8821003,80.9302753,15129,co,µg/m³,0
5657,"Central School, Lucknow - CPCB",Lucknow,26.8821003,80.9302753,15130,no2,µg/m³,0
11612,"Sector-19A Nerul, Navi Mumbai - IITM",Mumbai,19.044,73.03250000000001,39464,co,µg/m³,0
11612,"Sector-19A Nerul, Navi Mumbai - IITM",Mumbai,19.044,73.03250000000001,39462,no2,µg/m³,0
11612,"Sector-19A Nerul, Navi Mumbai - IITM",Mumbai,19.044,73.03250000000001,39465,o3,µg/m³,0
11612,"Sector-19A Nerul, Navi Mumbai - IITM",Mumbai,19.044,73.03250000000001,39461,pm10,µg/m³,0
5657,"Central School, Lucknow - CPCB",Lucknow,26.8821003,80.9302753,15172,pm25,µg/m³,0
5657,"Central School, Lucknow - CPCB",Lucknow,26.8821003,80.9302753,15181,so2,µg/m³,0
5659,"Lalbagh, Lucknow - CPCB",Lucknow,26.8458805,80.9365541,15151,co,µg/m³,0
5659,"Lalbagh, Lucknow - CPCB",Lucknow,26.8458805,80.9365541,15149,no2,µg/m³,0
5659,"Lalbagh, Lucknow - CPCB",Lucknow,26.8458805,80.9365541,12235520,o3,µg/m³,0
5659,"Lalbagh, Lucknow - CPCB",Lucknow,26.8458805,80.9365541,12235521,pm10,µg/m³,0
5659,"Lalbagh, Lucknow - CPCB",Lucknow,26.8458805,80.9365541,15143,pm25,µg/m³,0
11611,"Malad West, Mumbai - IITM",Mumbai,19.19709,72.82204,39458,co,µg/m³,0
11611,"Malad West, Mumbai - IITM",Mumbai,19.19709,72.82204,39456,no2,µg/m³,0
11611,"Malad West, Mumbai - IITM",Mumbai,19.19709,72.82204,39459,o3,µg/m³,0
11611,"Malad West, Mumbai - IITM",Mumbai,19.19709,72.82204,12236425,pm10,µg/m³,0
11607,"Lodhi Road, Delhi - IITM",Delhi,28.588333,77.221667,39433,pm25,µg/m³,0
11607,"Lodhi Road, Delhi - IITM",Delhi,28.588333,77.221667,39436,so2,µg/m³,0
5659,"Lalbagh, Lucknow - CPCB",Lucknow,26.8458805,80.9365541,15142,so2,µg/m³,0
5742,"Patparganj, Delhi - DPCC",Delhi,28.6310495,77.2846218,15498,no2,µg/m³,0
5742,"Patparganj, Delhi - DPCC",Delhi,28.6310495,77.2846218,15500,o3,µg/m³,0
5742,"Patparganj, Delhi - DPCC",Delhi,28.6310495,77.2846218,15628,pm10,µg/m³,0
5742,"Patparganj, Delhi - DPCC",Delhi,28.6310495,77.2846218,15629,pm25,µg/m³,0
5742,"Patparganj, Delhi - DPCC",Delhi,28.6310495,77.2846218,15499,so2,µg/m³,0
5743,"Rohini, Delhi - DPCC",Delhi,28.7407056,77.0577492,15503,co,µg/m³,0
5743,"Rohini, Delhi - DPCC",Delhi,28.7407056,77.0577492,15508,no2,µg/m³,0
5743,"Rohini, Delhi - DPCC",Delhi,28.7407056,77.0577492,15506,o3,µg/m³,0
5743,"Rohini, Delhi - DPCC",Delhi,28.7407056,77.0577492,15622,pm10,µg/m³,0
5743,"Rohini, Delhi - DPCC",Delhi,28.7407056,77.0577492,15618,pm25,µg/m³,0
5657,"Central School, Lucknow - CPCB",Lucknow,26.8821003,80.9302753,15135,o3,µg/m³,0
5657,"Central School, Lucknow - CPCB",Lucknow,26.8821003,80.9302753,34959,pm10,µg/m³,0
5744,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,28.4997315,77.2649067,15589,pm25,µg/m³,0
5744,"Dr. Karni Singh Shooting Range, Delhi - DPCC",Delhi,28.4997315,77.2649067,15509,so2,µg/m³,0
5753,"Vivek Vihar, Delhi - DPCC",Delhi,28.6687803,77.3130982,15545,co,µg/m³,0
5753,"Vivek Vihar, Delhi - DPCC",Delhi,28.6687803,77.3130982,15544,no2,µg/m³,0
5753,"Vivek Vihar, Delhi - DPCC",Delhi,28.6687803,77.3130982,15543,o3,µg/m³,0
5753,"Vivek Vihar, Delhi - DPCC",Delhi,28.6687803,77.3130982,15615,pm10,µg/m³,0
5753,"Vivek Vihar, Delhi - DPCC",Delhi,28.6687803,77.3130982,15604,pm25,µg/m³,0
5753,"Vivek Vihar, Delhi - DPCC",Delhi,28.6687803,77.3130982,15546,so2,µg/m³,0
5754,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,28.5828503,77.2321778,15548,co,µg/m³,0
5754,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,28.5828503,77.2321778,15547,no2,µg/m³,0
5754,"Jawaharlal Nehru Stadium, Delhi - DPCC",Delhi,28.5828503,77.2321778,15550,o3,µg/m³,0
